index,style,score_pct,score5_pct,score8_pct,preview
43,Normal,0.38,0.38,0.35,"Similar findings were reported by Porbeni et al. (2017), Thapa et al. (2021) and Owusu et al. (2022). The combination of high heritability and high GAM suggests that selection for "
45,Normal,0.05,0.05,0.0,4.1.2.8. Seed weight (g)
46,Normal,1.03,1.03,1.02,"The present investigation showed that seed weight ranged from 7.42g to 22.17g, with mean of 9.75g. Moderate GCV (17.88%) and PCV (18.94%) with a small difference between the estima"
47,Normal,0.32,0.32,0.29,"Variation in seed weight contribute to differences in overall seed yield. Therefore, seed weight appears to be an important trait for selection, and genotypes possessing higher see"
48,Normal,0.05,0.05,0.0,4.1.2.9. Pod length (cm)
49,Normal,0.97,0.97,0.96,"The pod length among the 107 cowpea genotypes ranged from 10.36 cm to 19.68 cm, with a mean of 14.44 cm.The moderate magnitude of GCV (10.32%) and PCV (10.77%) along with high heri"
50,Normal,0.26,0.26,0.22,"Since pod length is closely associated with the number and size of seeds accommodated within the pod, genotypes with desirable pod length are useful as parents for improving yield "
51,Normal,0.05,0.05,0.0,4.1.2.10. Number of pods per plant
52,Normal,0.78,0.78,0.77,"The number of pods per plant varied from 11 to 18 pods per plant, with a mean of 13 pods per plant. The trait exhibited moderate GCV (10.78%) and PCV (11.40%) with high heritabilit"
53,Normal,0.41,0.41,0.38,Smaller difference between GCV and PCV show that there was limited environmental influence on its phenotypic expression. Since the number of pods per plant is an important componen
54,Normal,0.05,0.05,0.0,4.1.2.11. Number of seeds per pod
55,Normal,0.91,0.91,0.9,"The evaluated cowpea genotypes produced 12 to 25 seeds per pod, with an average of 15 seeds per pod. Moderate GCV (11.41%) and PCV (11.86%) suggested that the environment effect wa"
56,Normal,0.46,0.46,0.43,The presence of high heritability and high genetic advance suggests that phenotypic selection for increased number of seeds per pod would be effective. This trait is an important c
57,Normal,0.08,0.08,0.03,4.1.2.12. Grain yield per ha (kg/ha)
58,Normal,1.25,1.24,1.25,"Grain yield per hectare exhibited a range from 397.04 to 1891.2 kg/ha, with an average yield of 841.41 kg/ha. The trait exhibited high GCV (33.09%) and PCV (40.04%) reflecting subs"
59,Normal,0.57,0.57,0.54,"The combination of high heritability and high GAM suggests that considerable improvement in grain yield can be achieved through selection, although environmental influence should b"
60,Normal,0.09,0.09,0.05,4.1.3. Principal component analysis for seed yield and its attributing traits.
61,Normal,1.61,1.6,1.61,"Principal component analysis (PCA) was carried out to assess the genetic diversity among the 107 cowpea genotypes based on twelve morphological, phenological, seed and yield relate"
62,Normal (Web),1.73,1.7,1.73,"The contribution of individual traits to each principal component revealed that PC1 was mainly associated with number of pods per plant (NPPP), number of branches (NB), grain yield"
63,isselectedend,1.1,1.09,1.1,"PC3 was mainly associated with days to 50 per cent flowering (DFF) and number of seeds per pod (NSPP), indicating that flowering behaviour and seed-bearing ability contributed to a"
64,isselectedend,0.84,0.84,0.83,The importance of yield related and seed traits in explaining genetic variation has also been reported in cowpea. Gerrano et al. (2011) and Mofokeng et al. (2020) observed consider
65,Normal (Web),0.71,0.71,0.69,"The PCA scatter plot showed a wide distribution of the genotypes across different quadrants, further supporting the presence of considerable diversity in the material. Genotypes po"
66,Normal (Web),0.41,0.41,0.38,"However, the PCA position of a genotype should be considered along with its actual trait performance rather than being used alone for selecting parents. Genotypes combining desirab"
67,Normal,0.12,0.12,0.08,4.2 To study the genetic divergence and associationship between grain yield and its attributing quantitative traits.
68,Normal,0.34,0.34,0.3,Divergence among the 107 cowpea genotypes was evaluated using Mahalanobis D² statistics. The genotypes were grouped into different clusters and the average intra-cluster and inter-
69,Normal,0.05,0.05,0.0,4.2.1. Clustering pattern of cowpea genotypes
70,Normal,0.05,0.05,0.0,4.2.2. Intra and inter-cluster distances
71,Normal,0.09,0.09,0.05,4.2.3. Phenotypic correlation coefficient for seed yield and its attributing traits
72,Normal,0.11,0.11,0.06,4.2.4. Path coefficient analysis for seed yield and yield attributing traits
73,Normal,0.08,0.08,0.03,4.2.1. Genetic diversity for seed yield and its attributing traits
74,Normal,1.82,1.8,1.82,"Based on the Mahalanobis D² analysis, the 107 cowpea genotypes were classified into 5 clusters using generalized squared distances. The distribution of genotypes across the cluster"
75,Normal,0.61,0.61,0.59,The grouping of a large proportion of genotypes into Clusters II and III indicates that many genotypes shared relatively similar combinations of the characters considered. At the s
76,Normal,0.05,0.05,0.0,4.2.2. Intra and inter-cluster distances.
77,isselectedend,1.49,1.47,1.49,The average intra and inter-cluster distances estimated using Mahalanobis D² statistics are presented in Table 9 (Fig. 8). The intra-cluster distances were consistently lower than 
78,Normal (Web),1.01,1.01,1.01,"Among the inter-cluster distances, the maximum distance was observed between Cluster I and Cluster IV (9.354), indicating the greatest divergence between these two groups. The mini"
79,Normal,0.61,0.61,0.59,"The presence of considerable inter-cluster divergence in the present material is in agreement with the findings of Praveena et al. (2019), Walle et al. (2019), Purohit et al. (2020"
80,Default,0.05,0.05,0.0,4.2.3. Cluster means for different characters
81,Normal (Web),1.17,1.17,1.17,"The cluster mean values for twelve quantitative characters revealed considerable variation among the five clusters presented in Table 10, indicating the presence of diversity for t"
82,Normal (Web),1.84,1.81,1.84,"Plant height showed substantial variation among the clusters, with the highest mean value of 77.06 cm in cluster V and the lowest value of 57.86 cm in cluster IV. The number of bra"
83,Normal (Web),1.34,1.34,1.34,"Considerable differences were also noticed for seed weight, which ranged from 8.67 in cluster II to 12.82 in cluster V. Pod length was maximum in cluster II (16.17 cm), while clust"
84,Normal (Web),1.45,1.44,1.45,"Marked variation was observed among the clusters for grain yield per hectare. Cluster V recorded the highest mean grain yield per hectare (1645.79 kg/ha), followed by cluster III ("
85,Normal (Web),0.08,0.08,0.03,4.2.4. Relative contribution of characters towards genetic divergence
86,Normal (Web),1.57,1.55,1.57,The relative contribution of different quantitative characters towards genetic divergence showed that the traits differed considerably in their contribution to the total diversity 
87,Normal (Web),0.97,0.97,0.96,"Plant height accounted for 7.32 per cent of the total divergence, while seed breadth and seed length contributed 6.83 and 6.36 per cent, respectively. Moderate contributions were o"
88,Normal (Web),0.87,0.87,0.86,"The first five major contributing characters, namely seed thickness, number of seeds per pod, grain yield per plant, days to maturity and number of branches, together accounted for"
89,Normal (Web),0.64,0.64,0.62,"Cluster V showed superior performance for grain yield, seed weight and number of seeds per pod, whereas Cluster I showed higher seed dimensions. Therefore, genotypes possessing des"
90,Normal,0.09,0.09,0.05,4.2.5. Phenotypic correlation coefficient for seed yield and its attributing traits
91,Normal,0.46,0.46,0.43,"The correlation coefficient determines the degree and direction of association of different component characters with seed yield, thereby identifying traits that may be useful for "
92,Normal,0.18,0.18,0.14,The phenotypic correlation coefficient values among seed yield and its attributing traits in 107 cowpea genotypes are presented in Table 12 (Fig. 10).
93,Normal,0.06,0.06,0.02,4.2.5.1. Days to 50 per cent flowering
94,Normal,0.91,0.91,0.9,"Days to 50 per cent flowering showed positive but non-significant associations with plant height (0.116), seed breadth (0.082), seed thickness (0.058), seed weight (0.162), pod len"
95,Normal,0.51,0.51,0.48,"The negative association with number of pods per plant suggests that relatively early flowering genotypes tended to produce more pods, although the association was not significant."
96,Normal,0.75,0.75,0.74,"The present finding differs from Nagalakshmi et al. (2020), who reported a significant positive association of days to 50 per cent flowering with seed yield (0.19) and a positive d"
97,Normal,0.05,0.05,0.0,4.2.5.2. Days to physiological maturity
98,Normal,0.83,0.83,0.82,"Days to physiological maturity showed positive but non-significant correlations with pod length (0.154), seed thickness (0.110), seed breadth (0.099) and number of pods per plant ("
99,Normal,0.74,0.74,0.72,The negative association with grain yield indicates that longer maturity duration did not provide an advantage for grain yield in the present material. Similar negative association
100,Normal,0.05,0.05,0.0,4.2.5.3. Plant height (cm)
101,Normal,0.87,0.87,0.86,"A significant positive relationship was recorded between plant height and number of branches per plant (0.518). The correlations of plant height with pod length (0.088), seed thick"
102,Normal,0.77,0.77,0.75,"The present result is in agreement with Chaudhary et al. (2020) and Nagalakshmi et al. (2020). In contrast, Waghmare et al. (2019) reported a negative association between plant hei"
103,Normal,0.05,0.05,0.0,4.2.5.4. Number of branches per plant
104,Normal,0.97,0.97,0.96,"For the trait, number of branches per plant significant correlations were observed with number of pods per plant (0.517), grain yield per hectare (0.417), number of seeds per pod ("
105,Normal,0.71,0.71,0.69,The significant positive association with grain yield indicates that increased branching was associated with greater yield in the present genotypes. This may be due to the greater 
106,Normal,0.05,0.05,0.0,4.2.5.5. Seed length (mm)
107,Normal,0.74,0.74,0.72,Seed length was strongly and positively correlated with seed breadth (0.764). Significant positive associations were also recorded with seed thickness (0.305) and number of pods pe
108,Normal,0.87,0.87,0.86,"The strong positive association among seed length, seed breadth and seed thickness indicates that these seed dimensional characters were closely related. However, the weak negative"
109,Normal,0.05,0.05,0.0,4.2.5.6. Seed breadth (mm)
110,Normal,0.94,0.94,0.93,"With respect to seed breadth, a significant positive association was evident with seed thickness (0.350). Positive but non-significant coefficients were obtained for number of pods"
111,Normal,0.4,0.4,0.37,The positive association between seed breadth and seed thickness indicates a close relationship between seed dimensions. Although the association of seed breadth with grain yield w
114,Normal,0.05,0.05,0.0,4.2.5.7. Seed thickness (mm)
115,Normal,1.09,1.09,1.09,"Pod length (0.069) and seed weight (0.010) were positively associated with seed thickness, whereas grain yield per hectare (-0.119), number of seeds per pod (-0.094) and number of "
116,Normal,0.05,0.05,0.0,4.2.5.8. Seed weight (g)
117,Normal,1.2,1.2,1.2,"For seed weight, all the subsequent associations were positive and non-significant. Similar coefficients were obtained with number of pods per plant (0.137) and number of seeds per"
118,Normal,0.05,0.05,0.0,4.2.5.9. Pod length (cm)
119,Normal,1.18,1.15,1.18,A significant positive correlation was found between pod length and number of pods per plant (0.243). Its relationships with grain yield per hectare (0.173) and number of seeds per
120,Normal,0.05,0.05,0.0,4.2.5.10. Number of pods per plant
121,Normal,0.6,0.6,0.58,"Among the characters considered, grain yield per hectare had a highly significant positive correlation with number of pods per plant (0.299). Number of seeds per pod also showed a "
122,Normal,0.72,0.72,0.7,An increase in the number of pods provides a greater number of reproductive units and therefore has the potential to increase total grain production. This is supported by Manggoel 
123,Normal,0.05,0.05,0.0,4.2.5.11. Number of seeds per pod
124,Normal,0.87,0.87,0.86,"A strong and significant positive correlation (0.659) was recorded between number of seeds per pod and grain yield per hectare. Thus, number of pods per plant can be considered an "
125,Normal,0.11,0.11,0.06,4.2.6. Path coefficient analysis for seed yield and yield attributing traits
126,Normal,0.58,0.58,0.56,Path coefficient analysis provides a detailed assessment of the relationships between seed yield and its associated characters by separating the observed associations into direct c
129,Normal,0.06,0.06,0.02,4.2.6.1. Days to 50 per cent flowering
130,Normal,0.98,0.98,0.98,"A negative direct contribution of days to 50 per cent flowering (-0.03196) towards seed yield was evident at the phenotypic level. However, favourable indirect influences were obse"
131,Normal,0.77,0.77,0.75,"The negative direct effect indicates that an increase in flowering duration had an unfavourable direct influence on grain yield. However, the positive indirect effect through numbe"
132,Normal,0.05,0.05,0.0,4.2.6.2. Days to physiological maturity
133,Normal,0.94,0.94,0.93,"For days to maturity, the direct effect on seed yield was positive, though low in magnitude (0.01360). The indirect contribution through seed breadth (0.02444) was comparatively hi"
134,Normal,0.78,0.78,0.77,The low magnitude of the direct effect indicates that maturity duration had only a limited direct contribution to grain yield. The relatively larger negative indirect effect throug
136,Normal,0.05,0.05,0.0,4.2.6.3. Plant height (cm)
137,Normal,0.58,0.58,0.56,"Plant height exerted a negative direct effect (-0.06319), its association with seed yield was positively influenced mainly through number of branches (0.12550). Positive indirect e"
138,Normal,0.95,0.95,0.94,"In contrast, indirect effects via seed breadth (-0.02176), seed thickness (-0.00609), days to 50 per cent flowering (-0.00371), seed weight (-0.00292) and days to maturity (-0.0007"
139,Normal,0.05,0.05,0.0,4.2.6.4. Number of branches per plant
140,Normal,1.26,1.26,1.26,A relatively high positive direct effect (0.24225) was recorded for number of branches. This character was influenced seed yield favourably through number of seeds per pod (0.14418
141,Normal,0.51,0.51,0.48,The positive direct effect indicates that branching ability itself contributed favourably to grain yield. The additional positive effects through seeds per pod and pods per plant s
142,Normal,0.05,0.05,0.0,4.2.6.5. Seed length (mm)
143,Normal (Web),1.49,1.47,1.49,"Seed length was characterized by a comparatively large negative direct effect (-0.24285) on seed yield. Despite this unfavourable direct influence, a positive indirect effect was e"
144,Normal,0.6,0.6,0.58,The negative direct effect indicates that greater seed length was not favourable for grain yield in the present material. The positive indirect effect through seed breadth explains
145,Normal,0.05,0.05,0.0,4.2.6.6. Seed breadth (mm)
146,Normal (Web),1.17,1.17,1.17,"Among the seed dimensional characters, seed breadth produced a high positive direct effect (0.24598) on seed yield. Its favourable indirect influence was also expressed through num"
147,Normal,0.32,0.32,0.29,"The positive direct effect indicates that seed breadth had a favourable contribution to grain yield in the present material. Therefore, seed breadth have potential as a selection c"
148,Normal,0.05,0.05,0.0,4.2.6.7. Seed thickness (mm)
149,Normal (Web),1.03,1.03,1.02,The direct influence of seed thickness on seed yield was negative (-0.08011). This adverse effect was partly compensated by positive indirect contributions through seed breadth (0.
150,Normal (Web),0.72,0.72,0.7,The negative direct effect indicates that seed thickness did not contribute favourably to grain yield when its own influence was separated from the effects of other traits. The pos
151,Normal,0.05,0.05,0.0,4.2.6.8. Seed weight (g)
152,Normal,0.97,0.97,0.96,"With respect to seed weight, the direct path towards seed yield was negative (-0.04778). The strongest favourable indirect contribution was observed through number of seeds per pod"
153,Normal,0.8,0.8,0.78,The negative direct effect indicates that seed weight did not make a favourable direct contribution to grain yield in the present material. A similar association was reported by Ca
154,Normal,0.05,0.05,0.0,4.2.6.9. Pod length (cm)
155,Normal,0.97,0.97,0.96,A positive direct effect of 0.05192 was obtained for pod length. Its contribution to seed yield was further enhanced by favourable indirect effects through number of branches (0.06
156,Normal,0.72,0.72,0.7,"Similar positive direct effect of pod length on seed yield was reported by Manggoel et al. (2012), Aliyu et al. (2016), Chaudhary et al. (2020), Kavyashree et al. (2023). The posit"
157,Normal,0.05,0.05,0.0,4.2.6.10. Number of pods per plant
158,Normal,0.75,0.75,0.74,Number of pods per plant contributed positively to seed yield through a direct effect of 0.13620. A nearly comparable indirect effect was mediated through number of branches (0.125
159,Normal,1.03,1.03,1.02,"Negative indirect effects were confined to seed length (-0.05041), seed weight (-0.00652) and plant height (-0.00312). The positive direct effect indicates that pod number itself c"
160,Normal,0.05,0.05,0.0,4.2.6.11. Number of seeds per pod
161,Normal,0.68,0.68,0.66,"Of all the component characters examined, number of seeds per pod exhibited the highest positive direct effect (0.57965) on seed yield. Its favourable influence was supplemented by"
162,Normal,1.18,1.18,1.18,"In comparison, negative indirect contributions through seed weight (-0.00657), days to 50 per cent flowering (-0.00290), days to maturity (-0.00164) and plant height (-0.00112) wer"
163,Normal,1.74,1.72,1.74,"The residual effect of 0.66 indicated that the characters included in the path analysis collectively explained approximately 56.44 per cent of the variation in grain yield, while t"
164,Normal,0.08,0.08,0.03,4.3. To study the seed morphometric and quality traits of cowpea genotypes.
165,List Paragraph,1.18,1.18,1.18,"The seed morphological and quality traits of the 107 cowpea genotypes were evaluated by recording seed size, seed shape, seed color presented in Table 14. Among 107 genotypes, base"
166,pdq2pg_selectionanchorcontainer,0.08,0.08,0.03,"4.3.1. Seed shape, size and color of cowpea genotypes"
167,Normal (Web),0.11,0.11,0.06,4.3.2. Germination percentage and seedling vigour of ten selected cowpea genotypes
170,Normal (Web),0.11,0.11,0.06,4.3.2. Germination percentage and seedling vigour of ten selected cowpea genotypes
171,pdq2pg_selectionanchorcontainer,0.35,0.35,0.32,Seed quality and early seedling establishment are important attributes influencing the successful establishment and subsequent performance of crop plants. In the present investigat
172,pdq2pg_selectionanchorcontainer,0.94,0.94,0.93,"Considerable variation was observed among the cowpea genotypes for germination percentage, seedling vigour and grain yield (Table 15). The germination percentage ranged from 87.50 "
173,Normal (Web),0.97,0.97,0.96,"Among the genotypes evaluated, V-16 recorded the highest grain yield (1891.22 kg/ha) along with 97.30 per cent germination and a seedling vigour index of 2732.24. EC-458480 was the"
174,Normal (Web),0.97,0.97,0.96,"IC-2591054 and EC-458418 also recorded relatively high grain yields of 1640.44 kg/ha and 1633.63 kg/ha respectively, with germination percentages of 89.50 per cent and 91.80 per ce"
175,List Paragraph,1.37,1.37,1.37,"Among the check genotypes, KBC-2 recorded the highest seedling vigour (3054.03), whereas KBC-9 recorded a comparatively high germination percentage (94.30%). However, their grain y"
194,Normal,0.0,0.0,0.0,V. SUMMARY AND CONCLUSION
195,Normal,1.63,1.61,1.63,The present investigation was carried out to assess the extent of genetic variability and diversity available in cowpea (Vigna unguiculata L. Walp.) germplasm and to understand the
196,Normal,0.81,0.81,0.8,"The analysis of variance indicated significant differences among the genotypes for the characters studied, confirming the presence of adequate variability in the experimental mater"
197,Normal,1.03,1.03,1.02,"Plant height recorded high GCV and PCV (21.08% and 21.12%)  together with high heritability (99.64%) and high genetic advance as per cent of mean (43.41%), indicating good scope fo"
198,Normal,0.97,0.97,0.96,"Days to 50 per cent flowering, seed thickness, seed weight, pod length, number of pods per plant and number of seeds per pod recorded moderate GCV along with high heritability and "
199,Normal,1.29,1.29,1.29,Principal component analysis provided further insight into the pattern of variation present among the genotypes. Five principal components with eigenvalues greater than one togethe
200,Normal,1.85,1.83,1.85,"The Mahalanobis D² analysis grouped the 107 genotypes into five clusters. Cluster II was the largest with 48 genotypes, closely followed by Cluster III with 44 genotypes, whereas C"
201,pdq2pg_selectionanchorcontainer,1.61,1.6,1.61,"Cluster means revealed substantial differences among the five clusters for the characters studied. Cluster V recorded the highest mean values for plant height (77.06 cm), number of"
202,Normal (Web),1.23,1.23,1.23,"The relative contribution of individual characters towards genetic divergence showed that seed thickness contributed the maximum (15.28%), followed by number of seeds per pod (11.8"
203,Normal,1.45,1.44,1.45,"The correlation analysis showed that grain yield per hectare was positively and significantly associated with number of seeds per pod (0.659*), number of pods per plant (0.299) and"
204,Normal,1.29,1.29,1.29,The path coefficient analysis clarified the contribution of individual characters towards grain yield. Number of seeds per pod recorded the highest positive direct effect on yield 
205,Normal,0.97,0.97,0.96,"Considerable variation was also noticed for seed morphological characters. The genotypes differed widely in seed colour, with cream, brown, black, reddish brown, purplish brown, pu"
206,Normal,1.37,1.34,1.37,"The evaluation of seed quality traits among selected promising genotypes and checks also revealed noticeable differences. Germination percentage was highest in V-16 (97.3%), wherea"
207,Normal,0.37,0.37,0.34,The findings of the present investigation demonstrate the availability of useful variability and diversity within the evaluated cowpea germplasm. Number of seeds per pod emerged as
208,Normal,0.69,0.69,0.67,Number of branches per plant and number of pods per plant were also positively associated with yield and may be considered while selecting superior genotypes. The diversity observe
209,Normal,0.0,0.0,0.0,Future line of work
210,Normal,0.08,0.08,0.03,"Based on the findings of the present investigation, the following future line of work is suggested:"
211,Normal,0.2,0.2,0.16,Promising genotypes identified in the present study may be evaluated over different seasons and locations to confirm their performance and adaptability under varying environmental 
212,Normal,0.25,0.25,0.21,"Genotypes belonging to highly divergent clusters, particularly those showing desirable agronomic performance, may be utilized as parents in hybridization programmes for generating "
213,Normal,0.21,0.21,0.18,"Promising genotypes combining high yield with desirable seed morphology, germination and seedling vigour may be further evaluated for their potential use in cowpea improvement prog"
